Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,104.03,52.11,4.911,-0.33961,8.400e-3,0.0112,0.0056,5201.778,1.567e-4,1.567e-4,1.567e-4,0_1:5.327e-3,0_1:384
Q1,84.27,21.64,4.835,-0.3245,1.350e-2,0.0212,0.0058,5201.778,1.868e-4,1.868e-4,1.868e-4,1_4:1.041e-2; 1_2:7.531e-3; 1_0:5.327e-3,1_4:526.222; 1_2:568.889; 1_0:419.556
Q2,86.03,108.64,4.982,-0.34,1.400e-2,0.0168,0.0112,5201.778,2.251e-4,2.251e-4,2.251e-4,2_3:6.059e-3; 2_1:7.531e-3,2_3:405.333; 2_1:533.333
Q3,83.56,73.33,5.105,-0.33534,8.300e-3,0.0112,0.0054,5201.778,1.967e-4,1.967e-4,1.967e-4,3_5:6.437e-3; 3_2:6.059e-3,3_5:398.222; 3_2:369.778
Q4,88.09,148.13,5.004,-0.33834,1.280e-2,0.0134,0.0122,5201.778,3.928e-4,3.928e-4,3.928e-4,4_7:1.620e-2; 4_1:1.041e-2,4_7:284.444; 4_1:561.778
Q5,80.53,99.63,5.033,-0.3374,9.200e-3,0.0114,0.007,5201.778,2.061e-4,2.061e-4,2.061e-4,5_8:6.558e-3; 5_3:6.437e-3,5_8:355.556; 5_3:362.667
Q6,154.3,25.01,4.951,-0.38998,1.561e-1,0.0372,0.275,5201.778,5.579e-4,5.579e-4,5.579e-4,6_7:2.110e-2,6_7:526.222
Q7,84.62,62.17,4.907,-0.32316,7.240e-2,0.0802,0.0646,5201.778,7.167e-4,7.167e-4,7.167e-4,7_10:5.733e-2; 7_6:2.110e-2; 7_4:1.620e-2,7_10:590.222; 7_6:490.667; 7_4:320
Q8,106.34,117.58,4.908,-0.32449,1.010e-2,0.0112,0.009,5201.778,2.009e-4,2.009e-4,2.009e-4,8_5:6.558e-3; 8_11:6.620e-3; 8_9:5.573e-3,8_5:391.111; 8_11:483.556; 8_9:405.333
Q9,89.06,112.11,5.045,-0.33805,1.040e-2,0.0138,0.007,5201.778,2.928e-4,2.928e-4,2.928e-4,9_8:5.573e-3,9_8:369.778
