2022-02-23 23:13:23.244851 > 	Starting compilation of PauliX0X111
2022-02-23 23:13:23.245235 > 	There are 56 processors available to Pool.
2022-02-23 23:13:23.245280 > 	The branching factor is 2.
2022-02-23 23:13:23.245319 > 	The beam factor is 28.
2022-02-23 23:13:23.383001 > 	Creating a pool of 56 workers
2022-02-23 23:13:23.519381 > 	New best! 0.04900391290060378 at depth 0
2022-02-23 23:13:23.519916 > 	Popped a node with score: 0.49003912900603785 at depth: 0
2022-02-23 23:13:23.645679 > 	New best! score: 0.30022653367942453 at depth: 1
2022-02-23 23:13:23.646988 > 	New best! score: 0.29317965426557047 at depth: 1
2022-02-23 23:13:23.647204 > 	Layer completed after 0.12715479731559753 seconds
2022-02-23 23:13:23.648045 > 	Popped a node with score: 0.29317965426557047 at depth: 1
2022-02-23 23:13:23.648196 > 	Popped a node with score: 0.30022653367942453 at depth: 1
2022-02-23 23:13:23.791676 > 	New best! score: 0.2928932189046026 at depth: 2
2022-02-23 23:13:23.981511 > 	New best! score: 0.25652554248066484 at depth: 2
2022-02-23 23:13:24.054517 > 	Layer completed after 0.40616529807448387 seconds
2022-02-23 23:13:24.055985 > 	Popped a node with score: 0.25652554248066484 at depth: 2
2022-02-23 23:13:24.056572 > 	Popped a node with score: 0.25652554329894683 at depth: 2
2022-02-23 23:13:24.056712 > 	Popped a node with score: 0.2928932189046026 at depth: 2
2022-02-23 23:13:24.056834 > 	Popped a node with score: 0.4381425418257706 at depth: 2
2022-02-23 23:13:24.470702 > 	New best! score: 0.25233681768487093 at depth: 3
2022-02-23 23:13:24.841723 > 	Layer completed after 0.7847220301628113 seconds
2022-02-23 23:13:24.844649 > 	Popped a node with score: 0.25233681768487093 at depth: 3
2022-02-23 23:13:24.844803 > 	Popped a node with score: 0.25233681819492015 at depth: 3
2022-02-23 23:13:24.844965 > 	Popped a node with score: 0.25652555274622857 at depth: 3
2022-02-23 23:13:24.845456 > 	Popped a node with score: 0.2565255541645515 at depth: 3
2022-02-23 23:13:24.845860 > 	Popped a node with score: 0.29289321885142017 at depth: 3
2022-02-23 23:13:24.846020 > 	Popped a node with score: 0.29289321978699534 at depth: 3
2022-02-23 23:13:24.846151 > 	Popped a node with score: 0.30022653098873486 at depth: 3
2022-02-23 23:13:24.846298 > 	Popped a node with score: 0.4486666659406946 at depth: 3
2022-02-23 23:13:25.014460 > 	New best! score: 0.0032720684557928648 at depth: 4
2022-02-23 23:13:26.021885 > 	Layer completed after 1.1754304021596909 seconds
2022-02-23 23:13:26.028244 > 	Popped a node with score: 0.0032720684557928648 at depth: 4
2022-02-23 23:13:26.028398 > 	Popped a node with score: 0.003272068455934418 at depth: 4
2022-02-23 23:13:26.028538 > 	Popped a node with score: 0.003272068458560762 at depth: 4
2022-02-23 23:13:26.028660 > 	Popped a node with score: 0.003272068461697919 at depth: 4
2022-02-23 23:13:26.028769 > 	Popped a node with score: 0.2523368205259344 at depth: 4
2022-02-23 23:13:26.028883 > 	Popped a node with score: 0.25233682914265443 at depth: 4
2022-02-23 23:13:26.029017 > 	Popped a node with score: 0.2565255303455115 at depth: 4
2022-02-23 23:13:26.029134 > 	Popped a node with score: 0.2565255351073582 at depth: 4
2022-02-23 23:13:26.029252 > 	Popped a node with score: 0.2565255434524143 at depth: 4
2022-02-23 23:13:26.029363 > 	Popped a node with score: 0.292893218889819 at depth: 4
2022-02-23 23:13:26.029475 > 	Popped a node with score: 0.29289322041987886 at depth: 4
2022-02-23 23:13:26.029578 > 	Popped a node with score: 0.2942889730519461 at depth: 4
2022-02-23 23:13:26.029680 > 	Popped a node with score: 0.29428897371734186 at depth: 4
2022-02-23 23:13:26.030104 > 	Popped a node with score: 0.2942889746266887 at depth: 4
2022-02-23 23:13:26.030184 > 	Popped a node with score: 0.30022653110428776 at depth: 4
2022-02-23 23:13:26.030257 > 	Popped a node with score: 0.4486666937828735 at depth: 4
2022-02-23 23:13:26.209686 > 	New best! score: 0.0032720684557854263 at depth: 5
2022-02-23 23:13:31.032263 > 	Layer completed after 5.001870293170214 seconds
2022-02-23 23:13:31.046254 > 	Popped a node with score: 0.0032720684557854263 at depth: 5
