2022-02-23 23:14:29.259344 > 	Starting compilation of PauliX111
2022-02-23 23:14:29.259705 > 	There are 56 processors available to Pool.
2022-02-23 23:14:29.259751 > 	The branching factor is 2.
2022-02-23 23:14:29.259789 > 	The beam factor is 28.
2022-02-23 23:14:29.396001 > 	Creating a pool of 56 workers
2022-02-23 23:14:29.428369 > 	New best! 0.030666131959828046 at depth 0
2022-02-23 23:14:29.428950 > 	Popped a node with score: 0.30666131959828047 at depth: 0
2022-02-23 23:14:30.775792 > 	Layer completed after 1.3466874100267887 seconds
2022-02-23 23:14:30.776741 > 	Popped a node with score: 0.43772688775808233 at depth: 1
2022-02-23 23:14:30.776890 > 	Popped a node with score: 0.4818320685800198 at depth: 1
2022-02-23 23:14:30.875068 > 	New best! score: 0.29289321913115596 at depth: 2
2022-02-23 23:14:33.092045 > 	Layer completed after 2.314953036606312 seconds
2022-02-23 23:14:33.093670 > 	Popped a node with score: 0.29289321913115596 at depth: 2
2022-02-23 23:14:33.093833 > 	Popped a node with score: 0.2986497461091854 at depth: 2
2022-02-23 23:14:33.093992 > 	Popped a node with score: 0.29864976073958494 at depth: 2
2022-02-23 23:14:33.094508 > 	Popped a node with score: 0.3055450553023429 at depth: 2
2022-02-23 23:14:39.930851 > 	Layer completed after 6.8361509926617146 seconds
2022-02-23 23:14:39.934071 > 	Popped a node with score: 0.2928932193883955 at depth: 3
2022-02-23 23:14:39.934243 > 	Popped a node with score: 0.2928953041828617 at depth: 3
2022-02-23 23:14:39.934805 > 	Popped a node with score: 0.2956410499619119 at depth: 3
2022-02-23 23:14:39.935044 > 	Popped a node with score: 0.2956410621334076 at depth: 3
2022-02-23 23:14:39.935224 > 	Popped a node with score: 0.29864980343909153 at depth: 3
2022-02-23 23:14:39.935445 > 	Popped a node with score: 0.29864981783217504 at depth: 3
2022-02-23 23:14:39.935630 > 	Popped a node with score: 0.3055450554663659 at depth: 3
2022-02-23 23:14:39.935759 > 	Popped a node with score: 0.4368577739269115 at depth: 3
2022-02-23 23:14:40.222659 > 	New best! score: 0.013148143308001625 at depth: 4
2022-02-23 23:14:52.182760 > 	Layer completed after 12.246447693556547 seconds
2022-02-23 23:14:52.189179 > 	Popped a node with score: 0.013148143308001625 at depth: 4
2022-02-23 23:14:52.189844 > 	Popped a node with score: 0.22311218659090704 at depth: 4
2022-02-23 23:14:52.190012 > 	Popped a node with score: 0.2231122006292241 at depth: 4
2022-02-23 23:14:52.190159 > 	Popped a node with score: 0.2847836831293631 at depth: 4
2022-02-23 23:14:52.190268 > 	Popped a node with score: 0.2928932195644234 at depth: 4
2022-02-23 23:14:52.190386 > 	Popped a node with score: 0.29289342185291756 at depth: 4
2022-02-23 23:14:52.190489 > 	Popped a node with score: 0.29564085432280574 at depth: 4
2022-02-23 23:14:52.190604 > 	Popped a node with score: 0.2956410362988985 at depth: 4
2022-02-23 23:14:52.190716 > 	Popped a node with score: 0.2956410706012409 at depth: 4
2022-02-23 23:14:52.190820 > 	Popped a node with score: 0.29564110276398325 at depth: 4
2022-02-23 23:14:52.190951 > 	Popped a node with score: 0.2956411164462047 at depth: 4
2022-02-23 23:14:52.191083 > 	Popped a node with score: 0.2986496027873272 at depth: 4
2022-02-23 23:14:52.191193 > 	Popped a node with score: 0.298649612031039 at depth: 4
2022-02-23 23:14:52.191314 > 	Popped a node with score: 0.298649797468865 at depth: 4
2022-02-23 23:14:52.191723 > 	Popped a node with score: 0.29864979831367766 at depth: 4
2022-02-23 23:14:52.191797 > 	Popped a node with score: 0.30554505479268257 at depth: 4
2022-02-23 23:14:52.410339 > 	New best! score: 0.009299407823945671 at depth: 5
2022-02-23 23:14:59.983380 > 	New best! score: 0.0038676058057127705 at depth: 5
2022-02-23 23:15:01.509502 > 	Layer completed after 9.31759799271822 seconds
2022-02-23 23:15:01.516252 > 	Popped a node with score: 0.0038676058057127705 at depth: 5
2022-02-23 23:15:01.516372 > 	Popped a node with score: 0.009299407823945671 at depth: 5
2022-02-23 23:15:01.516450 > 	Popped a node with score: 0.009299407861312003 at depth: 5
2022-02-23 23:15:01.516554 > 	Popped a node with score: 0.009299407861821374 at depth: 5
2022-02-23 23:15:01.516998 > 	Popped a node with score: 0.013148143296698223 at depth: 5
2022-02-23 23:15:01.517229 > 	Popped a node with score: 0.013148143327003425 at depth: 5
2022-02-23 23:15:01.517296 > 	Popped a node with score: 0.013148143501542586 at depth: 5
2022-02-23 23:15:01.517370 > 	Popped a node with score: 0.013148143559297276 at depth: 5
2022-02-23 23:15:01.517456 > 	Popped a node with score: 0.013148143676510293 at depth: 5
2022-02-23 23:15:01.517530 > 	Popped a node with score: 0.01842826058516822 at depth: 5
2022-02-23 23:15:01.517604 > 	Popped a node with score: 0.22311218839613722 at depth: 5
2022-02-23 23:15:01.517669 > 	Popped a node with score: 0.22311219431320406 at depth: 5
2022-02-23 23:15:01.517736 > 	Popped a node with score: 0.22311220484619632 at depth: 5
2022-02-23 23:15:01.517793 > 	Popped a node with score: 0.29238947012668304 at depth: 5
2022-02-23 23:15:01.517876 > 	Popped a node with score: 0.2923894703221669 at depth: 5
2022-02-23 23:15:01.517966 > 	Popped a node with score: 0.2928932190698674 at depth: 5
2022-02-23 23:15:01.518051 > 	Popped a node with score: 0.29289321947550606 at depth: 5
2022-02-23 23:15:01.518115 > 	Popped a node with score: 0.2928933334879552 at depth: 5
2022-02-23 23:15:01.518193 > 	Popped a node with score: 0.29289334107821885 at depth: 5
2022-02-23 23:15:01.518277 > 	Popped a node with score: 0.2928933722820064 at depth: 5
2022-02-23 23:15:01.518360 > 	Popped a node with score: 0.29564070428510036 at depth: 5
2022-02-23 23:15:01.518423 > 	Popped a node with score: 0.2956409966108936 at depth: 5
2022-02-23 23:15:01.518495 > 	Popped a node with score: 0.295641002297493 at depth: 5
2022-02-23 23:15:01.518555 > 	Popped a node with score: 0.29564103265966013 at depth: 5
2022-02-23 23:15:01.518623 > 	Popped a node with score: 0.2956410695955479 at depth: 5
2022-02-23 23:15:01.519034 > 	Popped a node with score: 0.2956410704723762 at depth: 5
2022-02-23 23:15:01.519079 > 	Popped a node with score: 0.29810188685265493 at depth: 5
2022-02-23 23:15:01.519116 > 	Popped a node with score: 0.2986496240096931 at depth: 5
2022-02-23 23:15:02.030117 > 	New best! score: 0.0 at depth: 6
2022-02-23 23:15:02.196799 > 	New best! score: -2.220446049250313e-16 at depth: 6
2022-02-23 23:15:12.727405 > 	Layer completed after 11.207971636205912 seconds
2022-02-23 23:15:12.790767 > 	Finished compilation at depth 6 with score -2.220446049250313e-16 after 43.53110961988568 seconds.
2022-02-23 23:15:12.792638 > 	Finished compilation of PauliX111
