2022-02-23 23:12:25.940621 > 	Starting compilation of PauliY0Y101
2022-02-23 23:12:25.941065 > 	There are 56 processors available to Pool.
2022-02-23 23:12:25.941112 > 	The branching factor is 2.
2022-02-23 23:12:25.941151 > 	The beam factor is 28.
2022-02-23 23:12:26.076861 > 	Creating a pool of 56 workers
2022-02-23 23:12:26.162918 > 	New best! 0.06634511155509402 at depth 0
2022-02-23 23:12:26.163525 > 	Popped a node with score: 0.6634511155509403 at depth: 0
2022-02-23 23:12:26.307536 > 	New best! score: 0.35335876273495603 at depth: 1
2022-02-23 23:12:26.327324 > 	New best! score: 0.30912598716160256 at depth: 1
2022-02-23 23:12:26.327464 > 	Layer completed after 0.1638563871383667 seconds
2022-02-23 23:12:26.328270 > 	Popped a node with score: 0.30912598716160256 at depth: 1
2022-02-23 23:12:26.328378 > 	Popped a node with score: 0.35335876273495603 at depth: 1
2022-02-23 23:12:26.447374 > 	New best! score: 0.2809201431050161 at depth: 2
2022-02-23 23:12:26.624056 > 	Layer completed after 0.2954559996724129 seconds
2022-02-23 23:12:26.626263 > 	Popped a node with score: 0.2809201431050161 at depth: 2
2022-02-23 23:12:26.626451 > 	Popped a node with score: 0.2927138656702044 at depth: 2
2022-02-23 23:12:26.626591 > 	Popped a node with score: 0.2927138692368604 at depth: 2
2022-02-23 23:12:26.626737 > 	Popped a node with score: 0.3007564833289086 at depth: 2
2022-02-23 23:12:26.808780 > 	New best! score: 0.2791981721161887 at depth: 3
2022-02-23 23:12:26.854346 > 	New best! score: 0.2206136946034113 at depth: 3
2022-02-23 23:12:26.895488 > 	New best! score: 0.11913485285847458 at depth: 3
2022-02-23 23:12:26.973996 > 	Layer completed after 0.3470907472074032 seconds
2022-02-23 23:12:26.976912 > 	Popped a node with score: 0.11913485285847458 at depth: 3
2022-02-23 23:12:26.977571 > 	Popped a node with score: 0.22061369453277502 at depth: 3
2022-02-23 23:12:26.977738 > 	Popped a node with score: 0.2206136946034113 at depth: 3
2022-02-23 23:12:26.977848 > 	Popped a node with score: 0.2791981721161887 at depth: 3
2022-02-23 23:12:26.977990 > 	Popped a node with score: 0.2867622111462218 at depth: 3
2022-02-23 23:12:26.978126 > 	Popped a node with score: 0.28676221202073815 at depth: 3
2022-02-23 23:12:26.978252 > 	Popped a node with score: 0.2867622157383567 at depth: 3
2022-02-23 23:12:26.978375 > 	Popped a node with score: 0.30075648316221193 at depth: 3
2022-02-23 23:12:27.231207 > 	New best! score: 0.1007972049349497 at depth: 4
2022-02-23 23:12:27.277990 > 	New best! score: 0.10079023886674177 at depth: 4
2022-02-23 23:12:27.485764 > 	Layer completed after 0.5072644203901291 seconds
2022-02-23 23:12:27.492092 > 	Popped a node with score: 0.10079023886674177 at depth: 4
