2022-02-23 23:08:40.855635 > 	Starting compilation of Phi01
2022-02-23 23:08:40.856227 > 	There are 56 processors available to Pool.
2022-02-23 23:08:40.856280 > 	The branching factor is 2.
2022-02-23 23:08:40.856324 > 	The beam factor is 28.
2022-02-23 23:08:40.998861 > 	Creating a pool of 56 workers
2022-02-23 23:08:41.217076 > 	New best! 0.02762347001912364 at depth 0
2022-02-23 23:08:41.217665 > 	Popped a node with score: 0.2762347001912364 at depth: 0
2022-02-23 23:08:41.684362 > 	New best! score: 0.25992270439162257 at depth: 1
2022-02-23 23:08:41.684622 > 	Layer completed after 0.4668167680501938 seconds
2022-02-23 23:08:41.685491 > 	Popped a node with score: 0.25992270439162257 at depth: 1
2022-02-23 23:08:41.685759 > 	Popped a node with score: 0.27989419908357915 at depth: 1
2022-02-23 23:08:41.855459 > 	New best! score: 0.22383451600515192 at depth: 2
2022-02-23 23:08:42.083918 > 	Layer completed after 0.3979973718523979 seconds
2022-02-23 23:08:42.085311 > 	Popped a node with score: 0.22383451600515192 at depth: 2
2022-02-23 23:08:42.085492 > 	Popped a node with score: 0.2299065168807447 at depth: 2
2022-02-23 23:08:42.085625 > 	Popped a node with score: 0.2784457905522576 at depth: 2
2022-02-23 23:08:42.086099 > 	Popped a node with score: 0.27844579376278533 at depth: 2
2022-02-23 23:08:42.277411 > 	New best! score: 0.22346917225553087 at depth: 3
2022-02-23 23:08:42.307638 > 	New best! score: 0.2169008712169167 at depth: 3
2022-02-23 23:08:42.365883 > 	New best! score: 0.21690087066477903 at depth: 3
2022-02-23 23:08:43.699107 > 	New best! score: 0.2165559420264881 at depth: 3
2022-02-23 23:08:43.699285 > 	Layer completed after 1.6129980646073818 seconds
2022-02-23 23:08:43.704930 > 	Popped a node with score: 0.2165559420264881 at depth: 3
2022-02-23 23:08:43.705131 > 	Popped a node with score: 0.21690087066477903 at depth: 3
2022-02-23 23:08:43.705283 > 	Popped a node with score: 0.2169008712169167 at depth: 3
2022-02-23 23:08:43.705414 > 	Popped a node with score: 0.22346917225553087 at depth: 3
2022-02-23 23:08:43.705531 > 	Popped a node with score: 0.22990651612954882 at depth: 3
2022-02-23 23:08:43.705644 > 	Popped a node with score: 0.23602314727652907 at depth: 3
2022-02-23 23:08:43.705960 > 	Popped a node with score: 0.2360231482793157 at depth: 3
2022-02-23 23:08:43.706037 > 	Popped a node with score: 0.23602314956147197 at depth: 3
2022-02-23 23:08:43.911511 > 	New best! score: 0.08934712676444079 at depth: 4
2022-02-23 23:08:44.865042 > 	Layer completed after 1.1588313020765781 seconds
2022-02-23 23:08:44.871088 > 	Popped a node with score: 0.08934712676444079 at depth: 4
2022-02-23 23:08:44.871727 > 	Popped a node with score: 0.08934712707478842 at depth: 4
2022-02-23 23:08:44.871867 > 	Popped a node with score: 0.14909832937773793 at depth: 4
2022-02-23 23:08:44.872005 > 	Popped a node with score: 0.16038041896957145 at depth: 4
2022-02-23 23:08:44.872190 > 	Popped a node with score: 0.16038041929851288 at depth: 4
2022-02-23 23:08:44.872340 > 	Popped a node with score: 0.1603804205927587 at depth: 4
2022-02-23 23:08:44.872459 > 	Popped a node with score: 0.18662610488394804 at depth: 4
2022-02-23 23:08:44.872597 > 	Popped a node with score: 0.18746385124233866 at depth: 4
2022-02-23 23:08:44.872713 > 	Popped a node with score: 0.21402563122118234 at depth: 4
2022-02-23 23:08:44.872828 > 	Popped a node with score: 0.21402563192275426 at depth: 4
2022-02-23 23:08:44.873237 > 	Popped a node with score: 0.22346917222521334 at depth: 4
2022-02-23 23:08:44.873319 > 	Popped a node with score: 0.22990651664104533 at depth: 4
2022-02-23 23:08:44.873392 > 	Popped a node with score: 0.2360231478655489 at depth: 4
2022-02-23 23:08:44.873463 > 	Popped a node with score: 0.2360231490316559 at depth: 4
2022-02-23 23:08:44.873533 > 	Popped a node with score: 0.23602314922873213 at depth: 4
2022-02-23 23:08:44.873620 > 	Popped a node with score: 0.23602314985828832 at depth: 4
2022-02-23 23:08:45.053717 > 	New best! score: 0.08931378766313758 at depth: 5
2022-02-23 23:08:45.221549 > 	New best! score: 0.08568156044690933 at depth: 5
2022-02-23 23:08:45.242680 > 	New best! score: 0.0856780016723192 at depth: 5
2022-02-23 23:08:45.245301 > 	New best! score: 0.08567799832565459 at depth: 5
