2022-02-23 23:16:55.103206 > 	Starting compilation of LCUcircYbasis
2022-02-23 23:16:55.103620 > 	There are 56 processors available to Pool.
2022-02-23 23:16:55.103669 > 	The branching factor is 2.
2022-02-23 23:16:55.103711 > 	The beam factor is 28.
2022-02-23 23:16:55.257541 > 	Creating a pool of 56 workers
2022-02-23 23:16:55.788704 > 	New best! 0.028965314248724283 at depth 0
2022-02-23 23:16:55.789373 > 	Popped a node with score: 0.28965314248724283 at depth: 0
2022-02-23 23:16:56.140615 > 	New best! score: 0.2814837236756733 at depth: 1
2022-02-23 23:16:56.140750 > 	Layer completed after 0.35129639878869057 seconds
2022-02-23 23:16:56.141328 > 	Popped a node with score: 0.2814837236756733 at depth: 1
2022-02-23 23:16:56.142082 > 	Popped a node with score: 0.29037741519689564 at depth: 1
2022-02-23 23:16:56.270011 > 	New best! score: 0.2489648987216284 at depth: 2
2022-02-23 23:16:56.348055 > 	New best! score: 0.22350249518404208 at depth: 2
2022-02-23 23:16:56.516995 > 	Layer completed after 0.3747354932129383 seconds
2022-02-23 23:16:56.518538 > 	Popped a node with score: 0.22350249518404208 at depth: 2
2022-02-23 23:16:56.518704 > 	Popped a node with score: 0.2489648987216284 at depth: 2
2022-02-23 23:16:56.518859 > 	Popped a node with score: 0.2867808356248609 at depth: 2
2022-02-23 23:16:56.519388 > 	Popped a node with score: 0.29023641637546327 at depth: 2
2022-02-23 23:16:56.695374 > 	New best! score: 0.22346917356629947 at depth: 3
2022-02-23 23:16:56.810744 > 	New best! score: 0.19684531697581686 at depth: 3
2022-02-23 23:16:57.203148 > 	Layer completed after 0.683524627238512 seconds
2022-02-23 23:16:57.206048 > 	Popped a node with score: 0.19684531697581686 at depth: 3
2022-02-23 23:16:57.206225 > 	Popped a node with score: 0.21407887029909534 at depth: 3
2022-02-23 23:16:57.206713 > 	Popped a node with score: 0.22346917356629947 at depth: 3
2022-02-23 23:16:57.206808 > 	Popped a node with score: 0.22829275340872401 at depth: 3
2022-02-23 23:16:57.206889 > 	Popped a node with score: 0.2394137802913915 at depth: 3
