2022-02-23 23:16:32.002077 > 	Starting compilation of LCUcircZbasis
2022-02-23 23:16:32.002505 > 	There are 56 processors available to Pool.
2022-02-23 23:16:32.002549 > 	The branching factor is 2.
2022-02-23 23:16:32.002588 > 	The beam factor is 28.
2022-02-23 23:16:32.146960 > 	Creating a pool of 56 workers
2022-02-23 23:16:32.629389 > 	New best! 0.028965314325773837 at depth 0
2022-02-23 23:16:32.630490 > 	Popped a node with score: 0.2896531432577384 at depth: 0
2022-02-23 23:16:33.211094 > 	New best! score: 0.2814837236934713 at depth: 1
2022-02-23 23:16:33.211258 > 	Layer completed after 0.5806807950139046 seconds
2022-02-23 23:16:33.211898 > 	Popped a node with score: 0.2814837236934713 at depth: 1
2022-02-23 23:16:33.212031 > 	Popped a node with score: 0.2903774141145663 at depth: 1
2022-02-23 23:16:33.378464 > 	New best! score: 0.24896490176496744 at depth: 2
2022-02-23 23:16:33.411851 > 	New best! score: 0.22350249463281258 at depth: 2
2022-02-23 23:16:33.538226 > 	Layer completed after 0.3260513246059418 seconds
2022-02-23 23:16:33.540331 > 	Popped a node with score: 0.22350249463281258 at depth: 2
2022-02-23 23:16:33.540716 > 	Popped a node with score: 0.24896490176496744 at depth: 2
2022-02-23 23:16:33.540850 > 	Popped a node with score: 0.28678084849318275 at depth: 2
2022-02-23 23:16:33.540978 > 	Popped a node with score: 0.2902364254019941 at depth: 2
2022-02-23 23:16:33.733746 > 	New best! score: 0.2234691724469462 at depth: 3
2022-02-23 23:16:33.781687 > 	New best! score: 0.2140788712209558 at depth: 3
2022-02-23 23:16:33.854621 > 	New best! score: 0.19684531771514047 at depth: 3
2022-02-23 23:16:34.240571 > 	Layer completed after 0.6994357630610466 seconds
2022-02-23 23:16:34.244522 > 	Popped a node with score: 0.19684531771514047 at depth: 3
2022-02-23 23:16:34.244686 > 	Popped a node with score: 0.2140788712209558 at depth: 3
2022-02-23 23:16:34.244818 > 	Popped a node with score: 0.2234691724469462 at depth: 3
2022-02-23 23:16:34.244953 > 	Popped a node with score: 0.22829274539568467 at depth: 3
2022-02-23 23:16:34.245079 > 	Popped a node with score: 0.23941378565212745 at depth: 3
2022-02-23 23:16:34.245224 > 	Popped a node with score: 0.2421131064366745 at depth: 3
2022-02-23 23:16:34.245400 > 	Popped a node with score: 0.2489649017277048 at depth: 3
2022-02-23 23:16:34.245913 > 	Popped a node with score: 0.25325579078838834 at depth: 3
2022-02-23 23:16:34.444979 > 	New best! score: 0.16893513075965394 at depth: 4
2022-02-23 23:16:34.459652 > 	New best! score: 0.09193442780827621 at depth: 4
2022-02-23 23:16:35.269636 > 	Layer completed after 1.0235948897898197 seconds
2022-02-23 23:16:35.276902 > 	Popped a node with score: 0.09193442780827621 at depth: 4
2022-02-23 23:16:35.277426 > 	Popped a node with score: 0.1470995095968135 at depth: 4
2022-02-23 23:16:35.277697 > 	Popped a node with score: 0.15912743783035233 at depth: 4
2022-02-23 23:16:35.277849 > 	Popped a node with score: 0.1658263962597033 at depth: 4
2022-02-23 23:16:35.277994 > 	Popped a node with score: 0.16893513075965394 at depth: 4
2022-02-23 23:16:35.278124 > 	Popped a node with score: 0.1693818649521498 at depth: 4
2022-02-23 23:16:35.278230 > 	Popped a node with score: 0.176896161949623 at depth: 4
2022-02-23 23:16:35.278341 > 	Popped a node with score: 0.18668077169673436 at depth: 4
2022-02-23 23:16:35.278442 > 	Popped a node with score: 0.21402563270917396 at depth: 4
2022-02-23 23:16:35.278543 > 	Popped a node with score: 0.22346917198874094 at depth: 4
2022-02-23 23:16:35.278643 > 	Popped a node with score: 0.2249303295154066 at depth: 4
2022-02-23 23:16:35.278743 > 	Popped a node with score: 0.233309020585325 at depth: 4
2022-02-23 23:16:35.278859 > 	Popped a node with score: 0.23330902911529572 at depth: 4
2022-02-23 23:16:35.278971 > 	Popped a node with score: 0.23941378688738424 at depth: 4
2022-02-23 23:16:35.279379 > 	Popped a node with score: 0.24211310273784248 at depth: 4
2022-02-23 23:16:35.279456 > 	Popped a node with score: 0.2489648976865756 at depth: 4
2022-02-23 23:16:35.642751 > 	New best! score: 0.08478026161730223 at depth: 5
2022-02-23 23:16:35.660611 > 	New best! score: 0.0841965658388868 at depth: 5
2022-02-23 23:16:35.810703 > 	New best! score: 0.08389725796756109 at depth: 5
2022-02-23 23:16:36.991167 > 	Layer completed after 1.711572915315628 seconds
2022-02-23 23:16:37.007021 > 	Popped a node with score: 0.08389725796756109 at depth: 5
2022-02-23 23:16:37.007147 > 	Popped a node with score: 0.0841965658388868 at depth: 5
2022-02-23 23:16:37.007238 > 	Popped a node with score: 0.08478026161730223 at depth: 5
2022-02-23 23:16:37.007312 > 	Popped a node with score: 0.0856038683518231 at depth: 5
2022-02-23 23:16:37.007382 > 	Popped a node with score: 0.09193288855808335 at depth: 5
2022-02-23 23:16:37.007452 > 	Popped a node with score: 0.0919328885914733 at depth: 5
2022-02-23 23:16:37.007521 > 	Popped a node with score: 0.09208953285429544 at depth: 5
2022-02-23 23:16:37.007589 > 	Popped a node with score: 0.1011768971237792 at depth: 5
2022-02-23 23:16:37.007656 > 	Popped a node with score: 0.10117689736562496 at depth: 5
2022-02-23 23:16:37.007722 > 	Popped a node with score: 0.1356296673855697 at depth: 5
2022-02-23 23:16:37.007789 > 	Popped a node with score: 0.14174163005798013 at depth: 5
2022-02-23 23:16:37.007854 > 	Popped a node with score: 0.14325544269218937 at depth: 5
