Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,88.47,52.11,4.911,-0.33961,9.600e-3,0.0146,0.0046,5201.778,2.012e-4,2.012e-4,2.012e-4,0_1:5.891e-3,0_1:384
Q1,82.88,21.64,4.835,-0.3245,1.710e-2,0.0246,0.0096,5201.778,1.858e-4,1.858e-4,1.858e-4,1_4:1.836e-2; 1_2:7.801e-3; 1_0:5.891e-3,1_4:526.222; 1_2:568.889; 1_0:419.556
Q2,81.07,109.58,4.982,-0.34,1.220e-2,0.015,0.0094,5201.778,2.386e-4,2.386e-4,2.386e-4,2_3:6.791e-3; 2_1:7.801e-3,2_3:405.333; 2_1:533.333
Q3,77.32,73.29,5.105,-0.33534,6.900e-3,0.0076,0.0062,5201.778,4.212e-4,4.212e-4,4.212e-4,3_5:7.679e-3; 3_2:6.791e-3,3_5:398.222; 3_2:369.778
Q4,91.81,136,5.004,-0.33834,1.800e-2,0.0228,0.0132,5201.778,5.043e-4,5.043e-4,5.043e-4,4_7:1.537e-2; 4_1:1.836e-2,4_7:284.444; 4_1:561.778
Q5,79.42,93.56,5.033,-0.3374,8.800e-3,0.0132,0.0044,5201.778,2.126e-4,2.126e-4,2.126e-4,5_8:6.317e-3; 5_3:7.679e-3,5_8:355.556; 5_3:362.667
Q6,139.58,25.4,4.951,-0.38998,5.470e-2,0.0386,0.0708,5201.778,5.644e-4,5.644e-4,5.644e-4,6_7:1.970e-2,6_7:526.222
Q7,83.87,65.05,4.907,-0.32316,5.500e-2,0.0434,0.0666,5201.778,4.503e-4,4.503e-4,4.503e-4,7_10:4.781e-2; 7_6:1.970e-2; 7_4:1.537e-2,7_10:590.222; 7_6:490.667; 7_4:320
Q8,102.01,126.46,4.908,-0.32449,1.070e-2,0.0138,0.0076,5201.778,2.071e-4,2.071e-4,2.071e-4,8_5:6.317e-3; 8_11:6.516e-3; 8_9:6.748e-3,8_5:391.111; 8_11:483.556; 8_9:405.333
Q9,88.59,111.42,5.045,-0.33805,7.700e-3,0.012,0.0034,5201.778,2.955e-4,2.955e-4,2.955e-4,9_8:6.748e-3,9_8:369.778
Q10,77.99,83.63,5.082,-0.33695,8.000e-3,0.0124,0.0036,5201.778,3.131e-4,3.131e-4,3.131e-4,10_7:4.781e-2; 10_12:6.428e-3,10_7:554.667; 10_12:412.444
Q11,106.3,77.75,5.034,-0.33745,1.480e-2,0.0176,0.012,5201.778,1.895e-4,1.895e-4,1.895e-4,11_14:4.510e-3; 11_8:6.516e-3,11_14:341.333; 11_8:448
Q12,67.8,120.01,4.972,-0.32198,2.250e-2,0.0296,0.0154,5201.778,2.783e-4,2.783e-4,2.783e-4,12_13:7.938e-3; 12_10:6.428e-3; 12_15:1.181e-2,12_13:391.111; 12_10:376.889; 12_15:405.333
Q13,43.98,70.63,4.868,-0.34049,1.020e-2,0.0178,0.0026,5201.778,2.181e-4,2.181e-4,2.181e-4,13_12:7.938e-3; 13_14:7.517e-3,13_12:426.667; 13_14:490.667
Q14,93.87,143.62,4.961,-0.32323,9.800e-3,0.0152,0.0044,5201.778,1.702e-4,1.702e-4,1.702e-4,14_11:4.510e-3; 14_16:5.605e-3; 14_13:7.517e-3,14_11:376.889; 14_16:355.556; 14_13:526.222
Q15,94.7,121.58,5.034,-0.33837,1.140e-2,0.0162,0.0066,5201.778,2.680e-4,2.680e-4,2.680e-4,15_18:1.111e-2; 15_12:1.181e-2,15_18:597.333; 15_12:369.778
Q16,80.92,85.27,5.085,-0.33732,1.320e-2,0.0158,0.0106,5201.778,3.441e-4,3.441e-4,3.441e-4,16_19:1.500e-2; 16_14:5.605e-3,16_19:270.222; 16_14:320
Q17,79.13,107.9,5.072,-0.33818,1.110e-2,0.015,0.0072,5201.778,4.596e-4,4.596e-4,4.596e-4,17_18:7.850e-3,17_18:348.444
Q18,88.91,26.78,4.981,-0.32616,2.770e-2,0.0338,0.0216,5201.778,3.050e-4,3.050e-4,3.050e-4,18_21:2.521e-2; 18_15:1.111e-2; 18_17:7.850e-3,18_21:440.889; 18_15:632.889; 18_17:384
Q19,88.76,129.01,4.983,-0.32129,1.010e-2,0.0126,0.0076,5201.778,1.923e-4,1.923e-4,1.923e-4,19_22:6.661e-3; 19_16:1.500e-2; 19_20:6.296e-3,19_22:327.111; 19_16:305.778; 19_20:355.556
Q20,74.05,109.47,5.082,-0.33766,1.090e-2,0.0176,0.0042,5201.778,5.022e-4,5.022e-4,5.022e-4,20_19:6.296e-3,20_19:320
Q21,103.17,47.85,5.074,-0.30766,4.010e-2,0.0426,0.0376,5201.778,8.483e-4,8.483e-4,8.483e-4,21_18:2.521e-2; 21_23:1.124e-2,21_18:405.333; 21_23:426.667
Q22,83.79,154.06,5.057,-0.3385,3.020e-2,0.0488,0.0116,5201.778,3.408e-4,3.408e-4,3.408e-4,22_19:6.661e-3; 22_25:9.407e-3,22_19:291.556; 22_25:611.556
Q23,30.41,55.81,4.973,-0.33732,1.200e-2,0.0192,0.0048,5201.778,2.951e-4,2.951e-4,2.951e-4,23_21:1.124e-2; 23_24:8.477e-3,23_21:391.111; 23_24:405.333
Q24,78.2,63.27,5.052,-0.33791,1.110e-2,0.0158,0.0064,5201.778,2.283e-4,2.283e-4,2.283e-4,24_23:8.477e-3; 24_25:7.057e-3,24_23:440.889; 24_25:376.889
Q25,104.71,100.52,4.934,-0.32286,7.300e-3,0.01,0.0046,5201.778,1.834e-4,1.834e-4,1.834e-4,25_22:9.407e-3; 25_26:7.932e-3; 25_24:7.057e-3,25_22:576; 25_26:483.556; 25_24:412.444
Q26,54.43,92.46,5,-0.33942,1.870e-2,0.0334,0.004,5201.778,2.643e-4,2.643e-4,2.643e-4,26_25:7.932e-3,26_25:519.111
