2022-02-24 15:51:13.537074 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.537152 > 	Phi01	Complete!
2022-02-24 15:51:13.537199 > 	PauliZ000	Complete!
2022-02-24 15:51:13.537241 > 	PauliX000	Complete!
2022-02-24 15:51:13.537280 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.537318 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.537356 > 	PauliZ100	Complete!
2022-02-24 15:51:13.537393 > 	PauliX100	Complete!
2022-02-24 15:51:13.537430 > 	PauliZ001	Complete!
2022-02-24 15:51:13.537466 > 	PauliX001	Complete!
2022-02-24 15:51:13.537503 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.537540 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.537577 > 	PauliZ101	Complete!
2022-02-24 15:51:13.537618 > 	PauliX101	Complete!
2022-02-24 15:51:13.537749 > 	PauliZ011	Complete!
2022-02-24 15:51:13.537787 > 	PauliX011	Complete!
2022-02-24 15:51:13.537823 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.537874 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.537928 > 	PauliZ111	Complete!
2022-02-24 15:51:13.537984 > 	PauliX111	Complete!
2022-02-24 15:51:13.538094 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.538274 > 	Phi01	Complete!
2022-02-24 15:51:13.538327 > 	PauliZ000	Complete!
2022-02-24 15:51:13.538367 > 	PauliX000	Complete!
2022-02-24 15:51:13.538404 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.538440 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.538476 > 	PauliZ100	Complete!
2022-02-24 15:51:13.538511 > 	PauliX100	Complete!
2022-02-24 15:51:13.538546 > 	PauliZ001	Complete!
2022-02-24 15:51:13.538582 > 	PauliX001	Complete!
2022-02-24 15:51:13.538617 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.538652 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.538687 > 	PauliZ101	Complete!
2022-02-24 15:51:13.538721 > 	PauliX101	Complete!
2022-02-24 15:51:13.538756 > 	PauliZ011	Complete!
2022-02-24 15:51:13.538791 > 	PauliX011	Complete!
2022-02-24 15:51:13.538826 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.538880 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.538918 > 	PauliZ111	Complete!
2022-02-24 15:51:13.538953 > 	PauliX111	Complete!
2022-02-24 15:51:13.539082 > 	Finished running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.648767 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.648876 > 	Phi01	Complete!
2022-02-24 15:51:13.648943 > 	PauliZ000	Complete!
2022-02-24 15:51:13.649005 > 	PauliX000	Complete!
2022-02-24 15:51:13.649065 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.649125 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.649184 > 	PauliZ100	Complete!
2022-02-24 15:51:13.649247 > 	PauliX100	Complete!
2022-02-24 15:51:13.649313 > 	PauliZ001	Complete!
2022-02-24 15:51:13.649378 > 	PauliX001	Complete!
2022-02-24 15:51:13.649438 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.649500 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.649565 > 	PauliZ101	Complete!
2022-02-24 15:51:13.649629 > 	PauliX101	Complete!
2022-02-24 15:51:13.649688 > 	PauliZ011	Complete!
2022-02-24 15:51:13.649748 > 	PauliX011	Complete!
2022-02-24 15:51:13.649807 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.649870 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.649936 > 	PauliZ111	Complete!
2022-02-24 15:51:13.650002 > 	PauliX111	Complete!
2022-02-24 15:51:13.650136 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.650366 > 	Phi01	Complete!
2022-02-24 15:51:13.650437 > 	PauliZ000	Complete!
2022-02-24 15:51:13.650505 > 	PauliX000	Complete!
2022-02-24 15:51:13.650574 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.650642 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.650711 > 	PauliZ100	Complete!
2022-02-24 15:51:13.650779 > 	PauliX100	Complete!
