2022-02-23 23:09:53.448911 > 	Starting compilation of PauliX000
2022-02-23 23:09:53.449314 > 	There are 56 processors available to Pool.
2022-02-23 23:09:53.449365 > 	The branching factor is 2.
2022-02-23 23:09:53.449408 > 	The beam factor is 28.
2022-02-23 23:09:53.583368 > 	Creating a pool of 56 workers
2022-02-23 23:09:53.705826 > 	New best! 0.06518935394704903 at depth 0
2022-02-23 23:09:53.706383 > 	Popped a node with score: 0.6518935394704903 at depth: 0
2022-02-23 23:09:53.816768 > 	New best! score: 0.3193156321201126 at depth: 1
2022-02-23 23:09:53.848274 > 	New best! score: 0.1435197004318597 at depth: 1
2022-02-23 23:09:53.848519 > 	Layer completed after 0.1419805996119976 seconds
2022-02-23 23:09:53.849375 > 	Popped a node with score: 0.1435197004318597 at depth: 1
2022-02-23 23:09:53.849581 > 	Popped a node with score: 0.3193156321201126 at depth: 1
2022-02-23 23:09:53.981880 > 	New best! score: 0.1435196997630236 at depth: 2
2022-02-23 23:09:54.031266 > 	Layer completed after 0.18099192157387733 seconds
2022-02-23 23:09:54.032729 > 	Popped a node with score: 0.1435196997630236 at depth: 2
2022-02-23 23:09:54.032899 > 	Popped a node with score: 0.1482285162743061 at depth: 2
2022-02-23 23:09:54.033369 > 	Popped a node with score: 0.1482285173442338 at depth: 2
2022-02-23 23:09:54.033462 > 	Popped a node with score: 0.2928932216194059 at depth: 2
2022-02-23 23:09:54.180908 > 	New best! score: 0.0017467203970349399 at depth: 3
2022-02-23 23:09:54.350661 > 	Layer completed after 0.3171100579202175 seconds
2022-02-23 23:09:54.436286 > 	Popped a node with score: 0.0017467203970349399 at depth: 3
2022-02-23 23:09:54.436478 > 	Popped a node with score: 0.07467206127911186 at depth: 3
2022-02-23 23:09:54.436980 > 	Popped a node with score: 0.07467206187684705 at depth: 3
2022-02-23 23:09:54.437052 > 	Popped a node with score: 0.1435197004910913 at depth: 3
2022-02-23 23:09:54.437114 > 	Popped a node with score: 0.1482285151747813 at depth: 3
2022-02-23 23:09:54.437173 > 	Popped a node with score: 0.14822851554645267 at depth: 3
2022-02-23 23:09:54.437229 > 	Popped a node with score: 0.14822851620979738 at depth: 3
2022-02-23 23:09:54.437284 > 	Popped a node with score: 0.29289321917576927 at depth: 3
2022-02-23 23:09:54.614988 > 	New best! score: 0.0008737419109432487 at depth: 4
2022-02-23 23:09:54.671154 > 	New best! score: 0.0008737419109159372 at depth: 4
2022-02-23 23:09:54.805687 > 	Layer completed after 0.36810676008462906 seconds
2022-02-23 23:09:54.812317 > 	Popped a node with score: 0.0008737419109159372 at depth: 4
2022-02-23 23:09:54.812441 > 	Popped a node with score: 0.0008737419109432487 at depth: 4
2022-02-23 23:09:54.812552 > 	Popped a node with score: 0.0008737419111415345 at depth: 4
2022-02-23 23:09:54.812653 > 	Popped a node with score: 0.0017467203969380174 at depth: 4
2022-02-23 23:09:54.812744 > 	Popped a node with score: 0.0746720611757743 at depth: 4
2022-02-23 23:09:54.812832 > 	Popped a node with score: 0.07467206119260839 at depth: 4
2022-02-23 23:09:54.812917 > 	Popped a node with score: 0.07467206122380277 at depth: 4
2022-02-23 23:09:54.813025 > 	Popped a node with score: 0.07467206142604565 at depth: 4
2022-02-23 23:09:54.813113 > 	Popped a node with score: 0.14351969977462353 at depth: 4
2022-02-23 23:09:54.813197 > 	Popped a node with score: 0.14351969991225544 at depth: 4
2022-02-23 23:09:54.813279 > 	Popped a node with score: 0.14822851471224374 at depth: 4
2022-02-23 23:09:54.813363 > 	Popped a node with score: 0.14822851472310195 at depth: 4
2022-02-23 23:09:54.813445 > 	Popped a node with score: 0.1482285153924724 at depth: 4
2022-02-23 23:09:54.813527 > 	Popped a node with score: 0.14822851562414052 at depth: 4
2022-02-23 23:09:54.813608 > 	Popped a node with score: 0.2928932193004965 at depth: 4
2022-02-23 23:09:54.813687 > 	Popped a node with score: 0.29412725848363985 at depth: 4
2022-02-23 23:09:55.092148 > 	New best! score: 0.0008737419109139388 at depth: 5
2022-02-23 23:09:55.101174 > 	New best! score: 0.0008737419109129396 at depth: 5
2022-02-23 23:09:55.232933 > 	New best! score: 2.220446049250313e-16 at depth: 5
2022-02-23 23:10:01.606688 > 	Layer completed after 6.792836122214794 seconds
2022-02-23 23:10:01.654054 > 	Finished compilation at depth 5 with score 2.220446049250313e-16 after 8.204844873398542 seconds.
2022-02-23 23:10:01.655689 > 	Finished compilation of PauliX000
2022-02-23 23:10:01.657520 > 	Recorded results from compilation.
2022-02-23 23:10:01.657747 > 	Deleted checkpoint file.
