2022-02-23 23:12:15.900901 > 	Starting compilation of PauliX0X101
2022-02-23 23:12:15.901270 > 	There are 56 processors available to Pool.
2022-02-23 23:12:15.901319 > 	The branching factor is 2.
2022-02-23 23:12:15.901360 > 	The beam factor is 28.
2022-02-23 23:12:16.043062 > 	Creating a pool of 56 workers
2022-02-23 23:12:16.151742 > 	New best! 0.034067639671939084 at depth 0
2022-02-23 23:12:16.152354 > 	Popped a node with score: 0.3406763967193909 at depth: 0
2022-02-23 23:12:16.311110 > 	New best! score: 0.3334886733120641 at depth: 1
2022-02-23 23:12:17.082002 > 	New best! score: 0.30610061524169596 at depth: 1
2022-02-23 23:12:17.082217 > 	Layer completed after 0.929742768406868 seconds
2022-02-23 23:12:17.083116 > 	Popped a node with score: 0.30610061524169596 at depth: 1
2022-02-23 23:12:17.083565 > 	Popped a node with score: 0.3334886733120641 at depth: 1
2022-02-23 23:12:17.217320 > 	New best! score: 0.2836631003123965 at depth: 2
2022-02-23 23:12:17.247623 > 	New best! score: 0.2699197619336018 at depth: 2
2022-02-23 23:12:17.492269 > 	Layer completed after 0.4084010645747185 seconds
2022-02-23 23:12:17.493760 > 	Popped a node with score: 0.2699197619336018 at depth: 2
2022-02-23 23:12:17.493955 > 	Popped a node with score: 0.2836631003123965 at depth: 2
2022-02-23 23:12:17.494427 > 	Popped a node with score: 0.3131446659931062 at depth: 2
2022-02-23 23:12:17.494527 > 	Popped a node with score: 0.31314466953031195 at depth: 2
2022-02-23 23:12:17.725471 > 	New best! score: 0.2692701579008324 at depth: 3
2022-02-23 23:12:17.781724 > 	New best! score: 0.23328415605600938 at depth: 3
2022-02-23 23:12:18.229062 > 	New best! score: 0.2157015303124601 at depth: 3
2022-02-23 23:12:18.229281 > 	Layer completed after 0.7346111200749874 seconds
2022-02-23 23:12:18.231991 > 	Popped a node with score: 0.2157015303124601 at depth: 3
2022-02-23 23:12:18.232471 > 	Popped a node with score: 0.23328415605600938 at depth: 3
2022-02-23 23:12:18.232583 > 	Popped a node with score: 0.23328415808748315 at depth: 3
2022-02-23 23:12:18.232675 > 	Popped a node with score: 0.2692701579008324 at depth: 3
2022-02-23 23:12:18.232755 > 	Popped a node with score: 0.27628141026905073 at depth: 3
2022-02-23 23:12:18.232830 > 	Popped a node with score: 0.2762814106080621 at depth: 3
2022-02-23 23:12:18.232902 > 	Popped a node with score: 0.2762814118369503 at depth: 3
2022-02-23 23:12:18.232987 > 	Popped a node with score: 0.28366309846996285 at depth: 3
2022-02-23 23:12:18.410066 > 	New best! score: 0.19885811212504845 at depth: 4
2022-02-23 23:12:18.479008 > 	New best! score: 0.1074691348774851 at depth: 4
2022-02-23 23:12:18.859957 > 	Layer completed after 0.6266886182129383 seconds
2022-02-23 23:12:18.866454 > 	Popped a node with score: 0.1074691348774851 at depth: 4
2022-02-23 23:12:18.866574 > 	Popped a node with score: 0.16178832401853638 at depth: 4
2022-02-23 23:12:18.866666 > 	Popped a node with score: 0.1656618079237181 at depth: 4
2022-02-23 23:12:18.866749 > 	Popped a node with score: 0.18767777425566656 at depth: 4
2022-02-23 23:12:18.866828 > 	Popped a node with score: 0.19885811212504845 at depth: 4
2022-02-23 23:12:18.866902 > 	Popped a node with score: 0.19885811381768403 at depth: 4
2022-02-23 23:12:18.866991 > 	Popped a node with score: 0.19885811414061783 at depth: 4
2022-02-23 23:12:18.867070 > 	Popped a node with score: 0.20580234009925014 at depth: 4
2022-02-23 23:12:18.867145 > 	Popped a node with score: 0.23114633520227845 at depth: 4
2022-02-23 23:12:18.867219 > 	Popped a node with score: 0.23114633626627645 at depth: 4
2022-02-23 23:12:18.867291 > 	Popped a node with score: 0.26927015932998355 at depth: 4
2022-02-23 23:12:18.867361 > 	Popped a node with score: 0.27628140958863945 at depth: 4
2022-02-23 23:12:18.867432 > 	Popped a node with score: 0.2762814113334797 at depth: 4
2022-02-23 23:12:18.867502 > 	Popped a node with score: 0.2762814133036663 at depth: 4
2022-02-23 23:12:18.867572 > 	Popped a node with score: 0.2762814159482543 at depth: 4
2022-02-23 23:12:18.867641 > 	Popped a node with score: 0.28366309754678987 at depth: 4
2022-02-23 23:12:19.160633 > 	New best! score: 0.08953280204715452 at depth: 5
2022-02-23 23:12:19.887843 > 	Layer completed after 1.0200536623597145 seconds
2022-02-23 23:12:19.903181 > 	Popped a node with score: 0.08953280204715452 at depth: 5
2022-02-23 23:12:19.903281 > 	Popped a node with score: 0.08953280281957599 at depth: 5
2022-02-23 23:12:19.903357 > 	Popped a node with score: 0.08955151301679509 at depth: 5
2022-02-23 23:12:19.903427 > 	Popped a node with score: 0.08955151364523428 at depth: 5
2022-02-23 23:12:19.903494 > 	Popped a node with score: 0.0936336496260951 at depth: 5
2022-02-23 23:12:19.903559 > 	Popped a node with score: 0.0996898900006532 at depth: 5
2022-02-23 23:12:19.903626 > 	Popped a node with score: 0.10737717913052369 at depth: 5
2022-02-23 23:12:19.903691 > 	Popped a node with score: 0.10737717927949131 at depth: 5
2022-02-23 23:12:19.903755 > 	Popped a node with score: 0.10737717933723068 at depth: 5
2022-02-23 23:12:19.903818 > 	Popped a node with score: 0.10737717971851268 at depth: 5
2022-02-23 23:12:19.903880 > 	Popped a node with score: 0.10737717979073436 at depth: 5
2022-02-23 23:12:19.903958 > 	Popped a node with score: 0.14877091012884902 at depth: 5
2022-02-23 23:12:19.904029 > 	Popped a node with score: 0.15215037531177833 at depth: 5
2022-02-23 23:12:19.904093 > 	Popped a node with score: 0.15873528878429155 at depth: 5
2022-02-23 23:12:19.904172 > 	Popped a node with score: 0.1587352907489139 at depth: 5
2022-02-23 23:12:19.904245 > 	Popped a node with score: 0.18767777217721926 at depth: 5
2022-02-23 23:12:19.904312 > 	Popped a node with score: 0.19743498925556968 at depth: 5
2022-02-23 23:12:19.904377 > 	Popped a node with score: 0.19743498938505566 at depth: 5
2022-02-23 23:12:19.904440 > 	Popped a node with score: 0.19743499170823486 at depth: 5
2022-02-23 23:12:19.904503 > 	Popped a node with score: 0.1988581108948253 at depth: 5
2022-02-23 23:12:19.904566 > 	Popped a node with score: 0.19885811090422456 at depth: 5
2022-02-23 23:12:19.904628 > 	Popped a node with score: 0.19885811176300094 at depth: 5
