2022-02-23 23:15:55.272189 > 	Starting compilation of LCUcircZbasis
2022-02-23 23:15:55.272567 > 	There are 56 processors available to Pool.
2022-02-23 23:15:55.272612 > 	The branching factor is 2.
2022-02-23 23:15:55.272651 > 	The beam factor is 28.
2022-02-23 23:15:55.423821 > 	Creating a pool of 56 workers
2022-02-23 23:15:55.933165 > 	New best! 0.028965327503059624 at depth 0
2022-02-23 23:15:55.934763 > 	Popped a node with score: 0.28965327503059624 at depth: 0
2022-02-23 23:15:56.552549 > 	New best! score: 0.28148372364703067 at depth: 1
2022-02-23 23:15:56.552752 > 	Layer completed after 0.6178812757134438 seconds
2022-02-23 23:15:56.553982 > 	Popped a node with score: 0.28148372364703067 at depth: 1
2022-02-23 23:15:56.554280 > 	Popped a node with score: 0.29037741354194935 at depth: 1
2022-02-23 23:15:56.709184 > 	New best! score: 0.2489648981585757 at depth: 2
2022-02-23 23:15:56.721145 > 	New best! score: 0.2235024935421811 at depth: 2
2022-02-23 23:15:56.961213 > 	Layer completed after 0.40664976835250854 seconds
2022-02-23 23:15:56.964362 > 	Popped a node with score: 0.2235024935421811 at depth: 2
2022-02-23 23:15:56.964520 > 	Popped a node with score: 0.2489648981585757 at depth: 2
2022-02-23 23:15:56.965152 > 	Popped a node with score: 0.2867808413658971 at depth: 2
2022-02-23 23:15:56.965427 > 	Popped a node with score: 0.2902364264470082 at depth: 2
2022-02-23 23:15:57.116083 > 	New best! score: 0.2234691755149969 at depth: 3
2022-02-23 23:15:57.177523 > 	New best! score: 0.21407887243338453 at depth: 3
2022-02-23 23:15:57.237923 > 	New best! score: 0.19684531953493056 at depth: 3
2022-02-23 23:15:57.480629 > 	Layer completed after 0.5150401405990124 seconds
2022-02-23 23:15:57.486533 > 	Popped a node with score: 0.19684531953493056 at depth: 3
2022-02-23 23:15:57.486793 > 	Popped a node with score: 0.21407887243338453 at depth: 3
2022-02-23 23:15:57.486936 > 	Popped a node with score: 0.2234691755149969 at depth: 3
2022-02-23 23:15:57.487094 > 	Popped a node with score: 0.22829274693316315 at depth: 3
2022-02-23 23:15:57.487331 > 	Popped a node with score: 0.23941378105481537 at depth: 3
2022-02-23 23:15:57.487503 > 	Popped a node with score: 0.24211310376529072 at depth: 3
2022-02-23 23:15:57.487697 > 	Popped a node with score: 0.24896489941801214 at depth: 3
2022-02-23 23:15:57.487829 > 	Popped a node with score: 0.2532557712387179 at depth: 3
2022-02-23 23:15:57.687116 > 	New best! score: 0.15912743730441703 at depth: 4
2022-02-23 23:15:57.744929 > 	New best! score: 0.09193442784346262 at depth: 4
2022-02-23 23:15:58.351203 > 	Layer completed after 0.8631119057536125 seconds
2022-02-23 23:15:58.358921 > 	Popped a node with score: 0.09193442784346262 at depth: 4
2022-02-23 23:15:58.359140 > 	Popped a node with score: 0.10122034521064627 at depth: 4
2022-02-23 23:15:58.359309 > 	Popped a node with score: 0.14709950981725917 at depth: 4
2022-02-23 23:15:58.359475 > 	Popped a node with score: 0.15912743730441703 at depth: 4
2022-02-23 23:15:58.359965 > 	Popped a node with score: 0.1658263974760028 at depth: 4
2022-02-23 23:15:58.360064 > 	Popped a node with score: 0.16893512832925384 at depth: 4
2022-02-23 23:15:58.360149 > 	Popped a node with score: 0.17689615794026936 at depth: 4
2022-02-23 23:15:58.360229 > 	Popped a node with score: 0.18668076724150162 at depth: 4
2022-02-23 23:15:58.360309 > 	Popped a node with score: 0.21402563472528302 at depth: 4
2022-02-23 23:15:58.360388 > 	Popped a node with score: 0.22346917290119617 at depth: 4
2022-02-23 23:15:58.360467 > 	Popped a node with score: 0.2249303283346512 at depth: 4
2022-02-23 23:15:58.360542 > 	Popped a node with score: 0.23330901742180898 at depth: 4
2022-02-23 23:15:58.360616 > 	Popped a node with score: 0.23330902398838382 at depth: 4
2022-02-23 23:15:58.360690 > 	Popped a node with score: 0.239413777666717 at depth: 4
2022-02-23 23:15:58.360764 > 	Popped a node with score: 0.2421131060562266 at depth: 4
2022-02-23 23:15:58.360837 > 	Popped a node with score: 0.2489648978211666 at depth: 4
2022-02-23 23:15:58.635595 > 	New best! score: 0.09193288871287608 at depth: 5
2022-02-23 23:15:58.707620 > 	New best! score: 0.08419656578954104 at depth: 5
2022-02-23 23:15:59.045001 > 	New best! score: 0.08389725819515081 at depth: 5
2022-02-23 23:15:59.750180 > 	Layer completed after 1.3892163895070553 seconds
2022-02-23 23:15:59.765568 > 	Popped a node with score: 0.08389725819515081 at depth: 5
2022-02-23 23:15:59.765831 > 	Popped a node with score: 0.08419656578954104 at depth: 5
2022-02-23 23:15:59.765979 > 	Popped a node with score: 0.08560386867126346 at depth: 5
2022-02-23 23:15:59.766198 > 	Popped a node with score: 0.09193288871287608 at depth: 5
2022-02-23 23:15:59.766347 > 	Popped a node with score: 0.09193288918086351 at depth: 5
2022-02-23 23:15:59.766785 > 	Popped a node with score: 0.09208953244497564 at depth: 5
2022-02-23 23:15:59.766864 > 	Popped a node with score: 0.09450664281668819 at depth: 5
2022-02-23 23:15:59.766936 > 	Popped a node with score: 0.10117689721613288 at depth: 5
2022-02-23 23:15:59.767023 > 	Popped a node with score: 0.10117689742836944 at depth: 5
2022-02-23 23:15:59.767093 > 	Popped a node with score: 0.13562966934414444 at depth: 5
2022-02-23 23:15:59.767181 > 	Popped a node with score: 0.1417416260187594 at depth: 5
2022-02-23 23:15:59.767260 > 	Popped a node with score: 0.14325544212689545 at depth: 5
2022-02-23 23:15:59.767330 > 	Popped a node with score: 0.14709951126378606 at depth: 5
2022-02-23 23:15:59.767397 > 	Popped a node with score: 0.15605672357168643 at depth: 5
2022-02-23 23:15:59.767464 > 	Popped a node with score: 0.15664267337876092 at depth: 5
2022-02-23 23:15:59.767532 > 	Popped a node with score: 0.1591179796679436 at depth: 5
2022-02-23 23:15:59.767602 > 	Popped a node with score: 0.15912743799242623 at depth: 5
2022-02-23 23:15:59.767669 > 	Popped a node with score: 0.1595793605092316 at depth: 5
2022-02-23 23:15:59.767737 > 	Popped a node with score: 0.16456819248115107 at depth: 5
2022-02-23 23:15:59.767872 > 	Popped a node with score: 0.1676446341529989 at depth: 5
2022-02-23 23:15:59.767967 > 	Popped a node with score: 0.16893512918641707 at depth: 5
2022-02-23 23:15:59.768042 > 	Popped a node with score: 0.17577521340453528 at depth: 5
